date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,var2,low_sub,sam1,sam2,SMA1,SMA2,var3,var4,var5,var6,close_ma58,var7,arg8,ema8,var8,rst
2020-01-02,sh.601881,11.95,12.77,11.84,12.47,11.61,227657234,2866766129.0,3,18.5309,1,7.4074,0,,,,,,,,,,,,1,0.0,0.0,0.0,0.0000
2020-01-03,sh.601881,12.3,12.38,11.93,12.0,12.47,162615795,1972310596.0,3,13.2366,1,-3.769,0,11.84,0.08999999999999986,0.08999999999999986,0.08999999999999986,,,,,,,,1,0.0,0.0,0.0,0.0000
2020-01-06,sh.601881,11.86,12.1,11.79,11.88,12.0,86250448,1029709203.0,3,7.0206,1,-1.0,0,11.93,-0.14000000000000057,0.14000000000000057,0.0,,,,,,,,1,0.0,0.0,0.0,0.0000
2020-01-07,sh.601881,11.9,11.98,11.7,11.87,11.88,71549174,846710376.0,3,5.824,1,-0.0842,0,11.79,-0.08999999999999986,0.08999999999999986,0.0,0.10666666666666676,0.029999999999999954,355.55555555555645,3555.5555555555648,,,,1,0.0,0.0,0.0,0.0000
2020-01-08,sh.601881,11.71,11.77,11.33,11.4,11.87,74548027,860528983.0,3,6.0681,1,-3.9596,0,11.7,-0.3699999999999992,0.3699999999999992,0.0,0.19999999999999987,0.0,inf,3555.5555555555648,,,,1,0.0,0.0,0.0,0.0000
2020-01-09,sh.601881,11.57,11.67,11.43,11.53,11.4,49906928,575211609.0,3,4.0623,1,1.1404,0,11.33,0.09999999999999964,0.09999999999999964,0.09999999999999964,0.18666666666666623,0.033333333333333215,560.0000000000007,5191.111111111119,,,,1,0.0,0.0,0.0,0.0000
2020-01-10,sh.601881,11.68,11.75,11.4,11.49,11.53,42835444,494503708.0,3,3.4867,1,-0.3469,0,11.43,-0.02999999999999936,0.02999999999999936,0.0,0.16666666666666607,0.033333333333333215,500.0,5073.504273504276,,,,1,0.0,0.0,0.0,0.0000
2020-01-13,sh.601881,11.33,11.63,11.25,11.62,11.49,46069281,527059538.0,3,3.7499,1,1.1314,0,11.4,-0.15000000000000036,0.15000000000000036,0.0,0.09333333333333312,0.033333333333333215,280.00000000000034,3819.1570881226085,,,,1,0.0,0.0,0.0,0.0000
2020-01-14,sh.601881,11.67,11.68,11.43,11.45,11.62,38843262,449620515.0,3,3.1618,1,-1.463,0,11.25,0.17999999999999972,0.17999999999999972,0.17999999999999972,0.11999999999999982,0.05999999999999991,200.0,2864.845173041896,,,,1,0.0,0.0,0.0,0.0000
2020-01-15,sh.601881,11.4,11.58,11.37,11.5,11.45,28211870,323423733.0,3,2.2964,1,0.4367,0,11.43,-0.0600000000000005,0.0600000000000005,0.0,0.1300000000000002,0.05999999999999991,216.6666666666673,2507.377777777782,,,,1,0.0,0.0,0.0,0.0000
2020-01-16,sh.601881,11.51,11.52,11.33,11.35,11.5,26402619,301249389.0,3,2.1491,1,-1.3043,0,11.37,-0.03999999999999915,0.03999999999999915,0.0,0.09333333333333312,0.05999999999999991,155.55555555555543,2025.8234519104096,,,,1,0.0,0.0,0.0,0.0000
2020-01-17,sh.601881,11.4,11.59,11.37,11.39,11.35,34535893,396095053.0,3,2.8112,1,0.3524,0,11.33,0.03999999999999915,0.03999999999999915,0.03999999999999915,0.046666666666666266,0.01333333333333305,350.00000000000443,2767.2560576293617,,,,1,0.0,0.0,0.0,0.0000
2020-01-20,sh.601881,11.43,11.57,11.27,11.51,11.39,44534338,509621183.0,3,3.625,1,1.0536,0,11.37,-0.09999999999999964,0.09999999999999964,0.0,0.05999999999999931,0.01333333333333305,450.00000000000443,3636.1736859288617,,,,1,0.0,0.0,0.0,0.0000
2020-01-21,sh.601881,11.44,11.54,11.15,11.19,11.51,40483970,459437001.0,3,3.2953,1,-2.7802,0,11.27,-0.11999999999999922,0.11999999999999922,0.0,0.086666666666666,0.01333333333333305,650.0000000000089,5070.187449062816,,,,1,0.0,0.0,0.0,0.0000
2020-01-22,sh.601881,11.12,11.51,11.12,11.39,11.19,41877477,473646516.0,3,3.4087,1,1.7873,0,11.15,-0.030000000000001137,0.030000000000001137,0.0,0.08333333333333333,0.0,inf,5070.187449062816,,,,1,0.0,0.0,0.0,0.0000
2020-01-23,sh.601881,11.42,11.75,11.08,11.22,11.39,75775347,867773661.0,3,1.1755,1,-1.4925,0,11.12,-0.03999999999999915,0.03999999999999915,0.0,0.06333333333333317,0.0,inf,5070.187449062816,,,,1,0.0,0.0,0.0,0.0000
2020-02-03,sh.601881,10.1,10.1,10.1,10.1,11.22,9269600,93622960.0,3,0.1438,1,-9.9822,0,11.08,-0.9800000000000004,0.9800000000000004,0.0,0.35000000000000026,0.0,inf,5070.187449062816,,,,1,0.0,0.0,0.0,0.0000
2020-02-04,sh.601881,9.49,9.98,9.45,9.85,10.1,76712384,747035196.0,3,1.19,1,-2.4752,0,10.1,-0.6500000000000004,0.6500000000000004,0.0,0.5566666666666666,0.0,inf,5070.187449062816,,,,1,0.0,0.0,0.0,0.0000
2020-02-05,sh.601881,9.88,10.38,9.8,9.96,9.85,54651109,548200348.0,3,0.8478,1,1.1167,0,9.45,0.3500000000000014,0.3500000000000014,0.3500000000000014,0.6600000000000007,0.11666666666666714,565.714285714284,5622.663673805476,,,,1,0.0,0.0,0.0,0.0000
2020-02-06,sh.601881,9.94,10.28,9.8,10.18,9.96,52183142,526639668.0,3,0.8095,1,2.2088,0,9.8,0.0,0.0,0.0,0.3333333333333339,0.11666666666666714,285.71428571428504,3816.5552697276894,,,,1,0.0,0.0,0.0,0.0000
2020-02-07,sh.601881,10.16,10.29,10.01,10.17,10.18,42208401,428181783.0,3,0.6548,1,-0.0982,0,9.8,0.20999999999999908,0.20999999999999908,0.20999999999999908,0.18666666666666684,0.18666666666666684,100.0,2221.3174463938185,,,,1,0.0,0.0,0.0,0.0000
2020-02-10,sh.601881,10.1,10.35,10.06,10.32,10.17,40295732,413003699.0,3,0.6251,1,1.4749,0,10.01,0.05000000000000071,0.05000000000000071,0.05000000000000071,0.0866666666666666,0.0866666666666666,100.0,1572.6469761062958,,,,1,0.0,0.0,0.0,0.0000
2020-02-11,sh.601881,10.36,10.52,10.28,10.3,10.32,37138536,385626656.0,3,0.5761,1,-0.1938,0,10.06,0.21999999999999886,0.21999999999999886,0.21999999999999886,0.15999999999999956,0.15999999999999956,100.0,1277.6810647135724,,,,1,0.0,0.0,0.0,0.0000
2020-02-12,sh.601881,10.27,10.57,10.19,10.47,10.3,46314937,481494786.0,3,0.7185,1,1.6505,0,10.28,-0.08999999999999986,0.08999999999999986,0.0,0.11999999999999982,0.08999999999999986,133.33333333333334,1305.9209090151355,,,,1,0.0,0.0,0.0,0.0000
2020-02-13,sh.601881,10.46,10.54,10.27,10.27,10.47,30812936,320161684.0,3,0.478,1,-1.9102,0,10.19,0.08000000000000007,0.08000000000000007,0.08000000000000007,0.1299999999999996,0.09999999999999964,130.00000000000006,1302.9386093594042,,,,1,0.0,0.0,0.0,0.0000
2020-02-14,sh.601881,10.26,10.55,10.22,10.4,10.27,36338165,377981662.0,3,0.5637,1,1.2658,0,10.27,-0.049999999999998934,0.049999999999998934,0.0,0.07333333333333296,0.02666666666666669,274.99999999999835,2029.128952850532,,,,1,0.0,0.0,0.0,0.0000
2020-02-17,sh.601881,10.62,10.9,10.52,10.84,10.4,74614340,795904572.0,3,1.1575,1,4.2308,0,10.22,0.29999999999999893,0.29999999999999893,0.29999999999999893,0.14333333333333265,0.12666666666666634,113.15789473684185,1579.5306305995807,,,,1,0.0,0.0,0.0,0.0000
2020-02-18,sh.601881,10.8,10.89,10.62,10.72,10.84,54515857,584640967.0,3,0.8457,1,-1.107,0,10.52,0.09999999999999964,0.09999999999999964,0.09999999999999964,0.14999999999999916,0.13333333333333286,112.49999999999977,1352.0570366668387,,,,1,0.0,0.0,0.0,0.0000
2020-02-19,sh.601881,10.7,10.95,10.68,10.76,10.72,50502301,546742349.0,3,0.7834,1,0.3731,0,10.62,0.0600000000000005,0.0600000000000005,0.0600000000000005,0.15333333333333302,0.15333333333333302,100.0,1175.9478940929719,,,,1,0.0,0.0,0.0,0.0000
